block,trial,trialtype,trialtype_string,cuetype,cuetype_string,correct_key,key_pressed,is_resp_corr,reaction_time
1,1,1,left_cong,1,cong,num_7,,0,
1,2,0,right_cong,1,cong,num_9,,0,
1,3,0,right_cong,1,cong,num_9,,0,
1,1,1,left_cong,1,cong,num_7,,0,
1,1,1,left_cong,1,cong,num_7,,0,
1,1,1,left_cong,1,cong,num_7,,0,
1,2,0,right_cong,1,cong,num_9,,0,
1,3,0,right_cong,1,cong,num_9,,0,
1,1,1,left_cong,1,cong,num_7,,0,
1,1,1,left_cong,1,cong,num_7,,0,
1,1,1,left_cong,1,cong,num_7,,0,
1,1,1,left_cong,1,cong,num_7,,0,
1,2,0,right_cong,1,cong,num_9,,0,
1,3,0,right_cong,1,cong,num_9,,0,
1,1,1,left_cong,1,cong,num_7,green,0,0.0012320000096224248
1,2,0,right_cong,1,cong,num_9,green,0,0.0027229999541305006
1,3,0,right_cong,1,cong,num_9,red,0,0.0017649999936111271
1,4,0,right_cong,1,cong,num_9,red,0,0.0010178000084124506
1,5,1,left_cong,1,cong,num_7,red,0,0.0029912000172771513
1,6,1,left_cong,1,cong,num_7,green,0,0.0025174000184051692
1,7,0,right_cong,1,cong,num_9,green,0,0.0017152999644167721
1,8,0,right_cong,1,cong,num_9,,0,
1,9,1,left_cong,1,cong,num_7,,0,
1,10,1,left_cong,1,cong,num_7,white,0,1.6992613999755122
1,11,0,right_cong,1,cong,num_9,button release,0,0.0017595000099390745
1,12,1,left_cong,1,cong,num_7,,0,
1,13,2,right_incg,0,incg,num_7,,0,
1,14,3,left_incg,0,incg,num_9,,0,
1,15,3,left_incg,0,incg,num_9,,0,
1,16,3,left_incg,0,incg,num_9,white,0,0.0013413999695330858
1,17,2,right_incg,0,incg,num_7,button release,0,0.0010904999799095094
1,18,2,right_incg,0,incg,num_7,,0,
1,19,3,left_incg,0,incg,num_9,,0,
1,20,2,right_incg,0,incg,num_7,,0,
1,1,1,left_cong,1,cong,num_7,red,0,0.0015420999843627214
1,2,0,right_cong,1,cong,num_9,red,0,0.8546427999972366
1,3,0,right_cong,1,cong,num_9,button release,0,0.001812300004530698
1,4,0,right_cong,1,cong,num_9,red,0,0.0016127999988384545
1,5,1,left_cong,1,cong,num_7,red,0,0.0018155999714508653
1,6,1,left_cong,1,cong,num_7,red,0,0.0024794000200927258
1,7,0,right_cong,1,cong,num_9,green,0,0.0027888999902643263
1,8,0,right_cong,1,cong,num_9,,0,
1,9,1,left_cong,1,cong,num_7,,0,
1,10,1,left_cong,1,cong,num_7,,0,
1,1,1,left_cong,1,cong,green,green,1,0.001794499985408038
1,2,0,right_cong,1,cong,red,green,0,0.0015332000330090523
1,3,0,right_cong,1,cong,red,red,1,0.0022788000060245395
1,4,0,right_cong,1,cong,red,red,1,0.0019931999850086868
1,5,1,left_cong,1,cong,green,red,0,0.0015298000071197748
1,6,1,left_cong,1,cong,green,green,1,0.0019490999984554946
1,7,0,right_cong,1,cong,red,green,0,0.002071700000669807
1,8,0,right_cong,1,cong,red,red,1,0.0016887999954633415
1,9,1,left_cong,1,cong,green,red,0,0.0025907999952323735
1,10,1,left_cong,1,cong,green,green,1,0.0014841000083833933
1,11,0,right_cong,1,cong,red,green,0,0.0021502000163309276
1,12,1,left_cong,1,cong,green,red,0,0.0017963999998755753
1,13,2,right_incg,0,incg,green,green,1,0.001585699967108667
1,14,3,left_incg,0,incg,red,red,1,0.001673599996138364
1,15,3,left_incg,0,incg,red,green,0,0.0016117999912239611
1,16,3,left_incg,0,incg,red,green,0,0.0014245000202208757
