block,trial,trialtype,trialtype_string,cuetype,cuetype_string,correct_key,key_pressed,is_resp_corr,reaction_time,reaction_time_vpixx
1,1,1,left_cong,1,cong,green,green,1,0.4075,0.4102
1,2,1,left_cong,1,cong,green,green,1,0.7598,0.7351
1,3,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,green,1,0.1995,0.2026
1,2,1,left_cong,1,cong,green,,0,,
1,3,1,left_cong,1,cong,green,green,1,0.3373,0.3404
1,4,1,left_cong,1,cong,green,green,1,0.9794,0.9873
1,5,0,right_cong,1,cong,red,,0,,
1,1,1,left_cong,1,cong,green,green,1,0.351,0.3539
1,2,1,left_cong,1,cong,green,green,1,0.3884,0.3901
1,3,1,left_cong,1,cong,green,green,1,0.3912,0.3945
1,4,1,left_cong,1,cong,green,green,1,0.2857,0.2886
1,5,0,right_cong,1,cong,red,green,0,0.2796,0.2824
