block,trial,trialtype,trialtype_string,cuetype,cuetype_string,correct_key,key_pressed,is_resp_corr,reaction_time,reaction_time_vpixx
1,1,1,left_cong,1,cong,green,green,1,0.3966,0.4095
1,2,1,left_cong,1,cong,green,,0,,
1,3,1,left_cong,1,cong,green,,0,,
1,4,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,green,1,0.4107,0.4348
1,2,1,left_cong,1,cong,green,,0,,
1,3,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,green,1,1.9929,2.0305
1,2,1,left_cong,1,cong,green,green,1,1.5197,1.5704
1,3,1,left_cong,1,cong,green,green,1,0.3223,0.3293
1,1,1,left_cong,1,cong,green,green,1,0.1281,0.134
1,2,1,left_cong,1,cong,green,green,1,1.6215,1.6546
1,3,1,left_cong,1,cong,green,green,1,0.6802,0.7098
