block,trial,trialtype,trialtype_string,cuetype,cuetype_string,correct_key,key_pressed,is_resp_corr,reaction_time,reaction_time_vpixx
1,1,1,left_cong,1,cong,green,,0,,
1,2,1,left_cong,1,cong,green,,0,,
1,3,1,left_cong,1,cong,green,green,1,1.8797,1.8827
1,4,1,left_cong,1,cong,green,,0,,
1,5,0,right_cong,1,cong,red,green,0,1.1638,1.1667
1,6,3,left_incg,0,incg,red,red,1,0.7505,0.7548
1,7,2,right_incg,0,incg,green,,0,,
1,8,2,right_incg,0,incg,green,red,0,0.2493,0.2507
1,9,3,left_incg,0,incg,red,,0,,
1,10,2,right_incg,0,incg,green,,0,,
1,1,1,left_cong,1,cong,green,,0,,
1,2,1,left_cong,1,cong,green,,0,,
1,3,1,left_cong,1,cong,green,,0,,
1,4,1,left_cong,1,cong,green,,0,,
1,5,0,right_cong,1,cong,red,,0,,
1,6,3,left_incg,0,incg,red,,0,,
1,7,2,right_incg,0,incg,green,,0,,
1,8,2,right_incg,0,incg,green,,0,,
1,9,3,left_incg,0,incg,red,,0,,
1,10,2,right_incg,0,incg,green,,0,,
1,11,3,left_incg,0,incg,red,,0,,
1,12,2,right_incg,0,incg,green,,0,,
1,13,3,left_incg,0,incg,red,,0,,
1,14,2,right_incg,0,incg,green,,0,,
1,15,3,left_incg,0,incg,red,,0,,
1,16,0,right_cong,1,cong,red,,0,,
1,17,1,left_cong,1,cong,green,,0,,
1,18,0,right_cong,1,cong,red,,0,,
1,19,1,left_cong,1,cong,green,,0,,
1,20,0,right_cong,1,cong,red,,0,,
1,21,2,right_incg,0,incg,green,,0,,
1,22,2,right_incg,0,incg,green,,0,,
1,23,3,left_incg,0,incg,red,,0,,
1,24,3,left_incg,0,incg,red,,0,,
1,25,2,right_incg,0,incg,green,,0,,
1,26,2,right_incg,0,incg,green,,0,,
1,27,2,right_incg,0,incg,green,,0,,
1,28,2,right_incg,0,incg,green,,0,,
1,29,2,right_incg,0,incg,green,,0,,
1,30,3,left_incg,0,incg,red,,0,,
1,31,3,left_incg,0,incg,red,,0,,
1,32,3,left_incg,0,incg,red,,0,,
1,33,3,left_incg,0,incg,red,,0,,
1,34,2,right_incg,0,incg,green,red,0,0.991,0.9947
1,35,3,left_incg,0,incg,red,green,0,1.0655,1.0677
1,36,3,left_incg,0,incg,red,red,1,1.3108,1.3153
1,37,2,right_incg,0,incg,green,green,1,1.1791,1.1835
1,38,3,left_incg,0,incg,red,,0,,
1,39,2,right_incg,0,incg,green,,0,,
1,40,2,right_incg,0,incg,green,,0,,
1,41,1,left_cong,1,cong,green,,0,,
1,42,1,left_cong,1,cong,green,,0,,
1,43,0,right_cong,1,cong,red,,0,,
1,44,1,left_cong,1,cong,green,,0,,
1,45,0,right_cong,1,cong,red,,0,,
1,46,2,right_incg,0,incg,green,,0,,
1,47,3,left_incg,0,incg,red,,0,,
1,48,3,left_incg,0,incg,red,,0,,
1,49,3,left_incg,0,incg,red,,0,,
1,50,3,left_incg,0,incg,red,,0,,
1,51,3,left_incg,0,incg,red,,0,,
1,52,3,left_incg,0,incg,red,,0,,
1,53,2,right_incg,0,incg,green,,0,,
1,54,3,left_incg,0,incg,red,,0,,
1,55,2,right_incg,0,incg,green,,0,,
1,56,0,right_cong,1,cong,red,,0,,
1,1,1,left_cong,1,cong,green,green,1,0.4184,0.4222
1,1,1,left_cong,1,cong,green,green,1,0.9756,0.9801
1,2,1,left_cong,1,cong,green,green,1,0.8234,0.8282
1,3,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,green,1,0.3133,0.3154
1,1,1,left_cong,1,cong,green,green,1,0.5436,0.5473
1,2,1,left_cong,1,cong,green,green,1,0.4586,0.4598
1,3,1,left_cong,1,cong,green,red,0,0.7096,0.7145
1,4,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,green,1,0.4321,0.4347
1,2,1,left_cong,1,cong,green,green,1,0.4217,0.4247
1,1,1,left_cong,1,cong,green,green,1,0.4501,0.4521
1,2,1,left_cong,1,cong,green,green,1,1.0967,1.1012
1,3,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,green,1,0.5979,0.6014
1,2,1,left_cong,1,cong,green,green,1,0.35,0.3515
1,3,1,left_cong,1,cong,green,green,1,0.481,0.4813
1,4,1,left_cong,1,cong,green,green,1,0.3805,0.3811
1,5,0,right_cong,1,cong,red,green,0,1.0221,1.0258
1,1,1,left_cong,1,cong,green,green,1,0.4954,0.4981
1,2,1,left_cong,1,cong,green,green,1,0.7896,0.7975
1,3,1,left_cong,1,cong,green,green,1,0.668,0.6738
1,4,1,left_cong,1,cong,green,green,1,1.1448,1.1523
1,5,0,right_cong,1,cong,red,,0,,
1,1,1,left_cong,1,cong,green,green,1,0.3842,0.3866
1,2,1,left_cong,1,cong,green,green,1,0.3991,0.4027
1,1,1,left_cong,1,cong,green,green,1,0.7279,0.7316
1,1,1,left_cong,1,cong,green,green,1,1.5657,1.5694
1,1,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,green,1,0.4009,0.4042
1,2,1,left_cong,1,cong,green,green,1,0.4891,0.4921
1,3,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,green,1,0.4447,0.447
1,2,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,green,1,0.3933,0.3964
1,2,1,left_cong,1,cong,green,green,1,0.4364,0.4396
1,3,1,left_cong,1,cong,green,green,1,0.372,0.375
