block,trial,trialtype,trialtype_string,cuetype,cuetype_string,correct_key,key_pressed,is_resp_corr,reaction_time,reaction_time_vpixx
1,1,1,left_cong,1,cong,green,green,1,0.4683,0.4742
1,2,1,left_cong,1,cong,green,green,1,0.4028,0.4055
1,3,1,left_cong,1,cong,green,green,1,0.5844,0.5993
1,4,1,left_cong,1,cong,green,green,1,0.9668,1.0158
1,5,0,right_cong,1,cong,red,red,1,1.4513,1.445
1,1,1,left_cong,1,cong,green,green,1,0.435,0.4447
1,2,1,left_cong,1,cong,green,,0,,
1,3,1,left_cong,1,cong,green,green,1,0.3182,0.3143
1,4,1,left_cong,1,cong,green,green,1,0.6177,0.6481
1,5,0,right_cong,1,cong,red,green,0,0.6517,0.6767
1,6,3,left_incg,0,incg,red,green,0,0.8682,0.9064
1,7,2,right_incg,0,incg,green,green,1,1.3848,1.4363
1,8,2,right_incg,0,incg,green,,0,,
